Athletics - 800m Women,United States,Great Britain,United States,Great Britain,China,Ethiopia,Great Britain,Jamaica
Athletics - 1500m Women,Kenya,Great Britain,Netherlands,Ethiopia,Canada,Australia,Uganda,Japan
Athletics - 5000m Women,Netherlands,Kenya,Ethiopia,Kenya,Ethiopia,Ethiopia,Italy,Turkey
Athletics - 10000m Women,Netherlands,Bahrain,Ethiopia,Kenya,Burundi,Kenya,Japan,Germany
Athletics - 100m Hurdles Women,Puerto Rico,United States,Jamaica,Nigeria,Netherlands,Bahamas,United States,Jamaica
Athletics - 400m Hurdles Women,United States,United States,Netherlands,Jamaica,Ukraine,Ukraine,Panama,United States
Athletics - 3000m Steeplechase Women,Uganda,United States,Kenya,Ethiopia,Germany,Slovenia,Kenya,Ethiopia
Athletics - 4x100m Relay Women,Jamaica,United States,Great Britain,Switzerland,Germany,China,France,Netherlands
Athletics - 4x400m Relay Women,United States,Poland,Jamaica,Canada,Great Britain,Netherlands,Belgium,Cuba
Athletics - Marathon Women,Kenya,Kenya,United States,Ethiopia,Belarus,Germany,Bahrain,Japan
Athletics - 20km Walk Women,Italy,Colombia,China,Spain,Mexico,Australia,China,Greece
Athletics - High Jump Women,Russia,Australia,Ukraine,Ukraine,Australia,United States,Uzbekistan,Ukraine
Athletics - Pole Vault Women,United States,Russia,Great Britain,Greece,Ukraine,Finland,Slovenia,Greece
Athletics - Long Jump Women,Germany,United States,Nigeria,Serbia,Ukraine,United States,Australia,Great Britain
Athletics - Triple Jump Women,Venezuela,Portugal,Spain,Jamaica,Cuba,Israel,United States,Jamaica
Athletics - Shot Put Women,China,United States,New Zealand,Portugal,China,New Zealand,Sweden,Germany
Athletics - Discus Throw Women,United States,Germany,Cuba,Croatia,Portugal,India,Jamaica,Germany
Athletics - Hammer Throw Women,Poland,China,Poland,France,Canada,Romania,Poland,United States
Athletics - Javelin Throw Women,China,Poland,Australia,Turkey,China,Australia,Lithuania,Australia
Athletics - Heptathlon Women,Belgium,Netherlands,Netherlands,Belgium,United States,United States,Germany,Austria
Athletics - 4x400m Relay Mixed,Poland,Dominican Republic,United States,Netherlands,Belgium,Great Britain,Jamaica,Ireland
Badminton - Singles Men,Denmark,China,Indonesia,Guatemala,Denmark,Chinese Taipei,South Korea,China
Badminton - Singles Women,China,Chinese Taipei,India,China,South Korea,Thailand,Japan,Japan
Badminton - Doubles Men,Chinese Taipei,China,Malaysia,Indonesia,Denmark,Japan,Indonesia,Japan
Badminton - Doubles Women,Indonesia,China,South Korea,South Korea,China,Japan,Japan,Netherlands
Badminton - Doubles Mixed,China,China,Japan,Hong Kong,Great Britain,Indonesia,Thailand,South Korea
Baseball - Men,Japan,United States,Dominican Republic,South Korea,Israel,Mexico,,
Basketball - Men,United States,France,Australia,Slovenia,Italy,Spain,Argentina,Germany
Basketball - Women,United States,Japan,France,Serbia,China,Spain,Belgium,Australia
Basketball - 3x3 Men,Latvia,Russia,Serbia,Belgium,Netherlands,Japan,Poland,China
Basketball - 3x3 Women,United States,Russia,China,France,Japan,Italy,Romania,Mongolia
Boxing - Flyweight Men,Great Britain,Philippines,Kazakhstan,Japan,Cuba,Uzbekistan,Spain,Colombia
Boxing - Featherweight Men,Russia,United States,Cuba,Ghana,Mongolia,Ireland,Thailand,Colombia
Boxing - Lightweight Men,Cuba,United States,Australia,Armenia,Brazil,Russia,Kazakhstan,Uzbekistan
Boxing - Welterweight Men,Cuba,Great Britain,Russia,Ireland,United States,Uzbekistan,Georgia,Mauritius
Boxing - Middleweight Men,Brazil,Ukraine,Russia,Philippines,Kazakhstan,Dominican Republic,Haiti,Armenia
Boxing - Light Heavyweight Men,Cuba,Great Britain,Azerbaijan,Russia,Mexico,Brazil,Turkey,Spain
Boxing - Heavyweight Men,Cuba,Russia,Brazil,New Zealand,Spain,Germany,Jordan,Belarus
Boxing - Super Heavyweight Men,Uzbekistan,United States,Great Britain,Kazakhstan,India,Cuba,Russia,Azerbaijan
Boxing - Flyweight Women,Bulgaria,Turkey,Japan,Chinese Taipei,China,Thailand,Colombia,Serbia
Boxing - Featherweight Women,Japan,Philippines,Great Britain,Italy,Romania,Colombia,Australia,Canada
Boxing - Lightweight Women,Ireland,Brazil,Thailand,Finland,Algeria,Uzbekistan,Great Britain,Turkey
Boxing - Welterweight Women,Turkey,China,India,United States,Ukraine,Mozambique,Chinese Taipei,Dominican Republic
Boxing - Middleweight Women,Great Britain,China,Netherlands,Russia,Panama,India,Canada,Mozambique
Canoe - Canoe Single Slalom Men,Slovenia,Czech Republic,Germany,Great Britain,France,Slovakia,United States,Spain
Canoe - Kayak Single Slalom Men,Czech Republic,Slovakia,Germany,Austria,United States,Great Britain,France,Australia
Canoe - Canoe Single Slalom Women,Australia,Great Britain,Germany,France,Austria,Czech Republic,Ukraine,Spain
Canoe - Kayak Single Slalom Women,Germany,Spain,Australia,Italy,Poland,New Zealand,Netherlands,Ukraine
Canoe - Canoe Single 1000m Men,Brazil,China,Moldova,France,Czech Republic,Germany,Cuba,China
Canoe - Canoe Double 1000m Men,Cuba,China,Germany,Brazil,Romania,Canada,Poland,Spain
Canoe - Kayak Single 200m Men,Hungary,Italy,Great Britain,Hungary,Spain,Sweden,Spain,Latvia
Canoe - Kayak Single 1000m Men,Hungary,Hungary,Portugal,Germany,Czech Republic,China,Australia,Argentina
Canoe - Kayak Double 1000m Men,Australia,Germany,Czech Republic,Hungary,New Zealand,Spain,Belarus,China
Canoe - Kayak 4-Men 500m,Germany,Spain,Slovakia,Russia,Belarus,Australia,Hungary,Portugal
Canoe - Canoe Single 200m Women,United States,Canada,Ukraine,Poland,Spain,China,Russia,Canada
Canoe - Canoe Single 500m Women,China,Ukraine,Canada,Germany,Hungary,Cuba,Moldova,Russia
Canoe - Kayak Single 200m Women,New Zealand,Spain,Denmark,Poland,Sweden,Hungary,Italy,Great Britain
Canoe - Kayak Single 500m Women,New Zealand,Hungary,Denmark,Hungary,Sweden,Belgium,Portugal,Australia
Canoe - Kayak Double 500m Women,New Zealand,Poland,Hungary,Hungary,Australia,Belarus,France,Germany
Canoe - Kayak 4-Women 500m,Hungary,Belarus,Poland,New Zealand,Germany,China,Australia,Denmark
Cycling - Individual Road Race Men,Ecuador,Belgium,Slovenia,Netherlands,Canada,United States,France,Colombia
Cycling - Individual Time Trial Men,Slovenia,Netherlands,Australia,Switzerland,Italy,Belgium,Denmark,Colombia
Cycling - Individual Road Race Women,Austria,Netherlands,Italy,Belgium,Netherlands,Germany,United States,Italy
Cycling - Individual Time Trial Women,Netherlands,Switzerland,Netherlands,Australia,United States,Germany,United States,South Africa
Cycling - Keirin Men,Great Britain,Malaysia,Netherlands,Suriname,Australia,Germany,Japan,Great Britain
Cycling - Madison Men,Denmark,Great Britain,France,Belgium,Netherlands,Spain,Switzerland,Poland
Cycling - Omnium Men,Great Britain,New Zealand,Italy,France,Denmark,Netherlands,Switzerland,United States
Cycling - Team Pursuit 4000m Men,Italy,Denmark,Australia,New Zealand,Canada,Germany,Great Britain,Switzerland
Cycling - Sprint Men,Netherlands,Netherlands,Great Britain,Russia,Germany,Trinidad and Tobago,France,Great Britain
Cycling - Team Sprint Men,Netherlands,Great Britain,France,Australia,Germany,Russia,New Zealand,Poland
Cycling - Keirin Women,Netherlands,New Zealand,Canada,Ukraine,Canada,Ukraine,Germany,Hong Kong
Cycling - Madison Women,Great Britain,Denmark,Russia,Netherlands,France,Poland,Australia,Italy
Cycling - Omnium Women,United States,Japan,Netherlands,Denmark,Norway,Great Britain,Portugal,France
Cycling - Team Pursuit 3000m Women,Germany,Great Britain,United States,Canada,Australia,Italy,France,New Zealand
Cycling - Sprint Women,Canada,Ukraine,Hong Kong,Germany,Germany,Great Britain,Netherlands,Canada
Cycling - Team Sprint Women,China,Germany,Russia,Netherlands,Lithuania,Mexico,Poland,Ukraine
Cycling - Mountain Biking Cross Country Men,Great Britain,Switzerland,Spain,Switzerland,France,New Zealand,Romania,South Africa
Cycling - Mountain Biking Cross Country Women,Switzerland,Switzerland,Switzerland,Hungary,Netherlands,France,Great Britain,Ukraine
Cycling - BMX Individual Men,Netherlands,Great Britain,Colombia,France,Ecuador,France,France,United States
Cycling - BMX Freestyle Men,Australia,Venezuela,Great Britain,Costa Rica,Japan,Russia,France,United States
Cycling - BMX Individual Women,Great Britain,Colombia,Netherlands,United States,Australia,Denmark,France,Canada
Cycling - BMX Freestyle Women,Great Britain,United States,Switzerland,United States,Australia,Germany,Japan,Chile
Diving - 3m Springboard Men,China,China,Great Britain,South Korea,Russia,Mexico,Germany,New Zealand
Diving - 10m Platform Men,China,China,Great Britain,Russia,Russia,Ukraine,Japan,Australia
Diving - Synchronized 3m Springboard Men,China,United States,Germany,Mexico,Japan,Italy,Great Britain,Russia
Diving - Synchronized 10m Platform Men,Great Britain,China,Russia,Mexico,Canada,Ukraine,South Korea,Japan
Diving - 3m Springboard Women,China,China,United States,Malaysia,Netherlands,Mexico,Germany,Canada
Diving - 10m Platform Women,China,China,Australia,Mexico,United States,Mexico,Great Britain,Germany
Diving - Synchronized 3m Springboard Women,China,Canada,Germany,Mexico,Japan,Great Britain,Italy,United States
Diving - Synchronized 10m Platform Women,China,United States,Mexico,Canada,Germany,Japan,Great Britain,Malaysia
Equestrian - Dressage Individual Mixed,Germany,Germany,Great Britain,Denmark,United States,Netherlands,Denmark,Great Britain
Equestrian - Dressage Team Mixed,Germany,United States,Great Britain,Denmark,Netherlands,Sweden,Spain,Portugal
Equestrian - Eventing Individual Mixed,Germany,Great Britain,Australia,Japan,Great Britain,France,France,Germany
Equestrian - Eventing Team Mixed,Great Britain,Australia,France,Germany,New Zealand,United States,Italy,Ireland
Equestrian - Jumping Individual Mixed,Great Britain,Sweden,Netherlands,Sweden,Sweden,Japan,Ireland,Great Britain
Equestrian - Jumping Team Mixed,Sweden,United States,Belgium,Netherlands,Switzerland,Brazil,Argentina,France
Fencing - Epee Individual Men,France,Hungary,Ukraine,Italy,Russia,Japan,South Korea,Egypt
Fencing - Epee Team Men,Japan,Russia,South Korea,China,France,Ukraine,Italy,Switzerland
Fencing - Foil Individual Men,Hong Kong,Italy,Czech Republic,Japan,France,Egypt,Egypt,Russia
Fencing - Foil Team Men,France,Russia,United States,Japan,Italy,Germany,Hong Kong,Egypt
Fencing - Sabre Individual Men,Hungary,Italy,South Korea,Georgia,South Korea,Russia,Italy,Iran
Fencing - Sabre Team Men,South Korea,Italy,Hungary,Germany,Egypt,Iran,Russia,United States
Fencing - Epee Individual Women,China,Romania,Estonia,Russia,Hong Kong,Italy,Estonia,Italy
Fencing - Epee Team Women,Estonia,South Korea,Italy,China,United States,Poland,Hong Kong,Russia
Fencing - Foil Individual Women,United States,Russia,Russia,Italy,Italy,Japan,South Korea,Canada
Fencing - Foil Team Women,Russia,France,Italy,United States,Canada,Japan,Hungary,Egypt
Fencing - Sabre Individual Women,Russia,Russia,France,Hungary,United States,China,Russia,Uzbekistan
Fencing - Sabre Team Women,Russia,France,South Korea,Italy,Japan,United States,China,Hungary
Field Hockey - Men,Belgium,Australia,India,Germany,Great Britain,Netherlands,Argentina,Spain
Field Hockey - Women,Netherlands,Argentina,Great Britain,India,Australia,Germany,Spain,New Zealand
Football (Soccer) - Men,Brazil,Spain,Mexico,Japan,South Korea,New Zealand,Cote d'Ivoire,Egypt
Football (Soccer) - Women,Canada,Sweden,United States,Australia,Netherlands,Brazil,Great Britain,Japan
Golf - Men,United States,Slovakia,Chinese Taipei,United States,Chile,Ireland,Colombia,Japan
Golf - Women,United States,Japan,New Zealand,India,Australia,Denmark,Ireland,China
Gymnastics - Artistic Team Men,Russia,Japan,China,Great Britain,United States,Switzerland,Ukraine,Germany
Gymnastics - Artistic Individual All Around Men,Japan,China,Russia,China,Japan,Russia,Chinese Taipei,Great Britain
Gymnastics - Floor Exercise Men,Israel,Spain,China,South Korea,Kazakhstan,United States,Russia,South Korea
Gymnastics - Pommel Horse Men,Great Britain,Chinese Taipei,Japan,Russia,Japan,United States,Ireland,China
Gymnastics - Rings Men,China,China,Greece,France,Turkey,Russia,Turkey,Brazil
Gymnastics - Vault Men,South Korea,Russia,Armenia,Philippines,Russia,Turkey,Turkey,Brazil
Gymnastics - Parallel Bars Men,China,Germany,Turkey,China,Russia,United States,Ukraine,Great Britain
Gymnastics - Horizontal Bar Men,Japan,Croatia,Russia,United States,Australia,Japan,Netherlands,Kazakhstan
Gymnastics - Artistic Team Women,Russia,United States,Great Britain,Italy,Japan,France,China,Belgium
Gymnastics - Artistic Individual All Around Women,United States,Brazil,Russia,Russia,Japan,Belgium,China,United States
Gymnastics - Vault Women,Brazil,United States,South Korea,Mexico,Russia,Russia,Canada,United States
Gymnastics - Uneven Bars Women,Belgium,Russia,United States,China,Germany,France,China,Russia
Gymnastics - Balance Beam Women,China,China,United States,Canada,United States,Japan,Brazil,Russia
Gymnastics - Floor Exercise Women,United States,Italy,Japan,Russia,Brazil,Great Britain,Great Britain,Russia
Gymnastics - Rhythmic Group Women,Bulgaria,Russia,Italy,China,Belarus,Israel,Ukraine,Japan
Gymnastics - Rhythmic Individual All Around Women,Israel,Russia,Belarus,Russia,Bulgaria,Italy,Israel,Belarus
Gymnastics - Trampoline Individual Men,Belarus,China,New Zealand,Belarus,Russia,Russia,Japan,Australia
Gymnastics - Trampoline Individual Women,China,China,Great Britain,Canada,Japan,United States,Russia,Mexico
Handball - Men,France,Denmark,Spain,Egypt,Sweden,Germany,Norway,Bahrain
Handball - Women,France,Russia,Norway,Sweden,Netherlands,Montenegro,Hungary,South Korea
Judo - Extra Lightweight Men,Japan,Chinese Taipei,Kazakhstan,France,Netherlands,South Korea,Ukraine,Georgia
Judo - Half Lightweight Men,Japan,Georgia,South Korea,Brazil,Italy,Israel,Mongolia,Slovenia
Judo - Lightweight Men,Japan,Georgia,South Korea,Mongolia,Azerbaijan,Canada,Kosovo,Israel
Judo - Half Middleweight Men,Japan,Mongolia,Austria,Belgium,Germany,Georgia,Russia,Uzbekistan
Judo - Middleweight Men,Georgia,Germany,Uzbekistan,Hungary,Turkey,Russia,Spain,Netherlands
Judo - Half Heavyweight Men,Japan,South Korea,Portugal,Russia,Canada,Georgia,Israel,Germany
Judo - Heavyweight Men,Czech Republic,Georgia,France,Russia,Japan,Ukraine,Brazil,Uzbekistan
Judo - Extra Lightweight Women,Kosovo,Japan,Ukraine,Mongolia,Israel,Portugal,Chinese Taipei,Argentina
Judo - Half Lightweight Women,Japan,France,Italy,Great Britain,Hungary,Switzerland,South Korea,Belgium
Judo - Lightweight Women,Kosovo,France,Japan,Canada,Georgia,Slovenia,Poland,Israel
Judo - Half Middleweight Women,France,Slovenia,Italy,Canada,Netherlands,Venezuela,Brazil,Poland
Judo - Middleweight Women,Japan,Austria,Russia,Netherlands,Croatia,Germany,Italy,Greece
Judo - Half Heavyweight Women,Japan,France,Germany,Brazil,Cuba,South Korea,Netherlands,Russia
Judo - Heavyweight Women,Japan,Cuba,Azerbaijan,France,China,Turkey,Brazil,South Korea
Judo - Team Mixed,France,Japan,Germany,Israel,Netherlands,Russia,Mongolia,Brazil
Karate - Kata Men,Japan,Spain,Turkey,United States,Venezuela,South Korea,Italy,Germany
Karate - Kumite 67kg Men,France,Turkey,Kazakhstan,Jordan,Olympic Refugee Team,Egypt,Latvia,Japan
Karate - Kumite 75kg Men,Italy,Azerbaijan,Ukraine,Hungary,Germany,Japan,Kazakhstan,United States
Karate - Kumite +75kg Men,Iran,Saudi Arabia,Turkey,Japan,Croatia,Georgia,Canada,Kazakhstan
Karate - Kata Women,Spain,Japan,Hong Kong,Italy,Turkey,United States,France,Germany
Karate - Kumite 55kg Women,Bulgaria,Ukraine,Austria,Chinese Taipei,Iran,Japan,Turkey,Kazakhstan
Karate - Kumite 61kg Women,Serbia,China,Turkey,Egypt,Ukraine,Venezuela,Peru,Japan
Karate - Kumite +61kg Women,Egypt,Azerbaijan,Kazakhstan,China,Switzerland,Italy,Iran,Japan
Modern Pentathlon - Men,Great Britain,Egypt,South Korea,South Korea,Czech Republic,Hungary,France,Czech Republic
Modern Pentathlon - Women,Great Britain,Lithuania,Hungary,Italy,Turkey,France,Lithuania,Belarus
Rowing - Single Sculls Men,Greece,Norway,Croatia,Denmark,Russia,Lithuania,,
Rowing - Double Sculls Men,France,Netherlands,China,Great Britain,Switzerland,Poland,,
Rowing - Quadruple Sculls Men,Netherlands,Great Britain,Australia,Poland,Italy,Estonia,,
Rowing - Coxless Pair Men,Croatia,Romania,Denmark,Canada,Serbia,Spain,,
Rowing - Coxless Four Men,Australia,Romania,Italy,Great Britain,United States,Netherlands,,
Rowing - Coxed Eight Men,New Zealand,Germany,Great Britain,United States,Netherlands,Australia,,
Rowing - Lightweight Double Sculls Men,Ireland,Germany,Italy,Czech Republic,Belgium,Uruguay,,
Rowing - Single Sculls Women,New Zealand,Russia,Austria,Great Britain,Switzerland,China,,
Rowing - Double Sculls Women,Romania,New Zealand,Netherlands,Lithuania,United States,Canada,,
Rowing - Quadruple Sculls Women,China,Poland,Australia,Italy,Germany,Netherlands,,
Rowing - Coxless Pair Women,New Zealand,Russia,Canada,Great Britain,Greece,Spain,,
Rowing - Coxless Four Women,Australia,Netherlands,Ireland,Great Britain,China,Poland,,
Rowing - Coxed Eight Women,Canada,New Zealand,China,United States,Australia,Romania,,
Rowing - Lightweight Double Sculls Women,Italy,France,Netherlands,Great Britain,United States,Romania,,
Rugby - Men,Fiji,New Zealand,Argentina,Great Britain,South Africa,United States,Australia,Canada
Rugby - Women,New Zealand,France,Fiji,Great Britain,Australia,United States,China,Russia
Sailing - RSX Men,Netherlands,France,China,Israel,Italy,Poland,Great Britain,Switzerland
Sailing - Laser Men,Australia,Croatia,Norway,Cyprus,Germany,France,South Korea,Brazil
Sailing - Finn Men,Great Britain,Hungary,Spain,Netherlands,New Zealand,Argentina,Australia,Turkey
Sailing - 470 Men,Australia,Sweden,Spain,New Zealand,Great Britain,Italy,Japan,Greece
Sailing - 49er Men,Great Britain,New Zealand,Germany,Spain,Denmark,Netherlands,Portugal,Croatia
Sailing - RSX Women,China,France,Great Britain,Italy,Netherlands,Israel,Denmark,Hong Kong
Sailing - Laser Radial Women,Denmark,Sweden,Netherlands,Belgium,Finland,Canada,Italy,Norway
Sailing - 470 Women,Great Britain,Poland,France,Switzerland,Slovenia,Germany,Japan,Israel
Sailing - 49erFX Women,Brazil,Germany,Netherlands,Spain,Argentina,Great Britain,Norway,Denmark
Sailing - Nacra 17 Mixed,Italy,Great Britain,Germany,Denmark,Australia,Spain,Argentina,France
Shooting - 10m Air Pistol Men,Iran,Serbia,China,Ukraine,Germany,China,India,South Korea
Shooting - 25m Rapid Fire Pistol Men,France,Cuba,China,South Korea,Germany,China,,
Shooting - 10m Air Rifle Men,United States,China,China,Turkey,Hungary,United States,Slovakia,Russia
Shooting - 50m Rifle 3 Positions Men,China,Russia,Serbia,Norway,Croatia,Croatia,Belarus,Ukraine
Shooting - Skeet Men,United States,Denmark,Kuwait,Finland,France,Italy,,
Shooting - Trap Men,Czech Republic,Czech Republic,Great Britain,Mexico,China,Kuwait,,
Shooting - 10m Air Pistol Women,Russia,Bulgaria,China,Ukraine,China,Greece,France,France
Shooting - 25m Pistol Women,Russia,South Korea,China,Bulgaria,Chinese Taipei,Greece,Germany,Chinese Taipei
Shooting - 10m Air Rifle Women,China,Russia,Switzerland,Norway,France,United States,South Korea,South Korea
Shooting - 50m Rifle 3 Positions Women,Switzerland,Russia,Russia,Norway,United States,Germany,Slovenia,Serbia
Shooting - Skeet Women,United States,Italy,China,Thailand,Germany,Russia,,
Shooting - Trap Women,Slovakia,United States,San Marino,Australia,Italy,Australia,,
Shooting - 10m Air Pistol Team Mixed,China,Russia,Ukraine,Serbia,Iran,China,India,Australia
Shooting - 10m Air Rifle Team Mixed,China,United States,Russia,South Korea,Russia,United States,Hungary,Poland
Shooting - Trap Team Mixed,Spain,San Marino,United States,Slovakia,Japan,Australia,,
Skateboarding - Park Men,Australia,Brazil,United States,Brazil,Australia,Puerto Rico,France,Brazil
Skateboarding - Park Women,Japan,Japan,Great Britain,Japan,Australia,United States,Brazil,Brazil
Skateboarding - Street Men,Japan,Brazil,United States,France,Peru,France,United States,Portugal
Skateboarding - Street Women,Japan,Brazil,Japan,United States,Netherlands,China,Philippines,Japan
Softball - Women,Japan,United States,Canada,Mexico,Australia,Italy,,
Sport Climbing - Speed Men,Spain,United States,Austria,Japan,France,Czech Republic,United States,France
Sport Climbing - Speed Women,Slovenia,Japan,Japan,Poland,United States,France,Austria,South Korea
Surfing - Shortboard Men,Brazil,Japan,Australia,Brazil,United States,France,Peru,Japan
Surfing - Shortboard Women,United States,South Africa,Japan,United States,Australia,Costa Rica,Portugal,Brazil
Swimming - 50m Freestyle Men,United States,France,Brazil,United States,Great Britain,Greece,Italy,Netherlands
Swimming - 100m Freestyle Men,United States,Australia,Russia,France,South Korea,Italy,Romania,Hungary
Swimming - 200m Freestyle Men,Great Britain,Great Britain,Brazil,Romania,Russia,United States,South Korea,Lithuania
Swimming - 400m Freestyle Men,Tunisia,Australia,United States,Germany,Austria,Italy,Australia,United States
Swimming - 800m Freestyle Men,United States,Italy,Ukraine,Germany,Australia,Ukraine,Austria,Brazil
Swimming - 1500m Freestyle Men,United States,Ukraine,Germany,Italy,Great Britain,Russia,Austria,Ukraine
Swimming - 100m Backstroke Men,Russia,Russia,United States,Italy,China,Spain,Australia,Romania
Swimming - 200m Backstroke Men,Russia,United States,Great Britain,United States,Hungary,Poland,Japan,Spain
Swimming - 100m Breaststroke Men,Great Britain,Netherlands,Italy,United States,Great Britain,China,United States,Belarus
Swimming - 200m Breaststroke Men,Australia,Netherlands,Finland,Russia,United States,Great Britain,Japan,Sweden
Swimming - 100m Butterfly Men,United States,Hungary,Switzerland,Russia,Poland,Australia,Guatemala,Bulgaria
Swimming - 200m Butterfly Men,Hungary,Japan,Italy,Hungary,South Africa,Brazil,United States,Poland
Swimming - 200m Individual Medley Men,China,Great Britain,Switzerland,Japan,United States,Japan,Hungary,New Zealand
Swimming - 400m Individual Medley Men,United States,United States,Australia,Hungary,Great Britain,France,New Zealand,Italy
Swimming - 4x100m Freestyle Relay Men,United States,Italy,Australia,Canada,Hungary,France,Russia,Brazil
Swimming - 4x200m Freestyle Relay Men,Great Britain,Russia,Australia,United States,Italy,Switzerland,Germany,Brazil
Swimming - 4x100m Medley Relay Men,United States,Great Britain,Italy,Russia,Australia,Japan,Canada,China
Swimming - 10km Open Water Men,Germany,Hungary,Italy,Israel,Greece,France,Netherlands,South Africa
Swimming - 50m Freestyle Women,Australia,Sweden,Denmark,Netherlands,Poland,China,Australia,United States
Swimming - 100m Freestyle Women,Australia,Hong Kong,Australia,Canada,Sweden,Netherlands,Great Britain,United States
Swimming - 200m Freestyle Women,Australia,Hong Kong,Canada,China,United States,Czech Republic,Italy,Australia
Swimming - 400m Freestyle Women,Australia,United States,China,Canada,China,Germany,United States,New Zealand
Swimming - 800m Freestyle Women,United States,Australia,Italy,United States,China,Australia,Germany,Russia
Swimming - 1500m Freestyle Women,United States,United States,Germany,China,Italy,Australia,Russia,Australia
Swimming - 100m Backstroke Women,Australia,Canada,United States,United States,Australia,Great Britain,Netherlands,Israel
Swimming - 200m Backstroke Women,Australia,Canada,Australia,United States,United States,Canada,China,China
Swimming - 100m Breaststroke Women,United States,South Africa,United States,Russia,Russia,Sweden,Italy,Ireland
Swimming - 200m Breaststroke Women,South Africa,United States,United States,Russia,South Africa,Great Britain,Great Britain,Belgium
Swimming - 100m Butterfly Women,Canada,China,Australia,United States,Sweden,France,Sweden,Belarus
Swimming - 200m Butterfly Women,China,United States,United States,Hungary,Russia,China,Great Britain,Australia
Swimming - 200m Individual Medley Women,Japan,United States,United States,Great Britain,China,Canada,Hungary,Great Britain
Swimming - 400m Individual Medley Women,Japan,United States,United States,Spain,Hungary,Hungary,Great Britain,Italy
Swimming - 4x100m Freestyle Relay Women,Australia,Canada,United States,Netherlands,Great Britain,Sweden,China,Denmark
Swimming - 4x200m Freestyle Relay Women,China,United States,Australia,Canada,Russia,Germany,Hungary,France
Swimming - 4x100m Medley Relay Women,Australia,United States,Canada,China,Sweden,Italy,Russia,Japan
Swimming - 10km Open Water Women,Brazil,Netherlands,Australia,Hungary,Germany,United States,United States,China
Swimming - 4x100m Medley Relay Mixed,Great Britain,China,Australia,Italy,United States,Netherlands,Russia,Israel
Swimming - Synchronized Duet Women,Russia,China,Ukraine,Japan,Canada,Italy,Austria,France
Swimming - Synchronized Team Women,Russia,China,Ukraine,Japan,Italy,Canada,Spain,Egypt
